timestamp,open,high,low,close,adjusted close,volume,dividend amount
2022-11-18,95.0900,100.1400,94.5100,97.4300,97.4300,155320405,0.0000
2022-11-11,87.2800,96.9300,86.8500,96.4100,96.4100,180987654,0.0000
2022-11-04,95.4200,96.0300,83.3400,86.5800,86.5800,248287592,0.0000
2022-10-28,101.8000,104.8200,91.8000,96.2900,96.2900,260474979,0.0000
2022-10-21,98.8600,103.4700,97.7200,101.1300,101.1300,134072851,0.0000
2022-10-14,99.0000,100.6900,94.3836,96.5600,96.5600,126593782,0.0000
2022-10-07,96.7600,102.9254,96.5210,98.6800,98.6800,128836461,0.0000
2022-09-30,98.1000,100.7000,95.5600,95.6500,95.6500,153600483,0.0000
2022-09-23,101.7500,103.3300,97.4700,98.7400,98.7400,146652732,0.0000
2022-09-16,110.9900,111.6200,100.9400,102.8000,102.8000,164520213,0.0000
2022-09-09,107.3000,110.9900,105.7800,110.6500,110.6500,95613118,0.0000
2022-09-02,109.9900,110.9500,107.2600,107.8500,107.8500,129760378,0.0000
2022-08-26,115.2000,116.7200,110.1900,110.3400,110.3400,109264136,0.0000
2022-08-19,121.1300,122.4300,116.7600,117.2100,117.2100,101180201,0.0000
2022-08-12,118.3900,121.6800,115.7100,121.6800,121.6800,112576216,0.0000
2022-08-05,115.3000,118.7800,113.7200,117.4700,117.4700,115531776,0.0000
2022-07-29,108.4100,116.7050,104.0700,116.3200,116.3200,212580311,0.0000
2022-07-22,112.6400,115.4000,106.5000,107.9000,107.9000,196555759,0.0000
2022-07-15,2359.9600,2359.9600,2167.4600,2235.5500,111.7775,9434879,0.0000
2022-07-08,2142.0100,2393.7000,2114.6300,2387.0700,119.3535,7800253,0.0000
2022-07-01,2365.4600,2371.5900,2134.6100,2174.7500,108.7375,8783163,0.0000
2022-06-24,2178.5900,2361.5800,2172.0000,2359.5000,117.9750,7385777,0.0000
2022-06-17,2135.7300,2228.4700,2100.9200,2142.8700,107.1435,11185892,0.0000
2022-06-10,2334.0900,2386.9400,2207.3224,2223.2300,111.1615,7925977,0.0000
2022-06-03,2254.9300,2357.9900,2241.5700,2290.8200,114.5410,7537276,0.0000
2022-05-27,2191.7500,2246.3600,2037.6936,2246.3300,112.3165,11504170,0.0000
2022-05-20,2299.1100,2338.0000,2115.9272,2178.1600,108.9080,8363847,0.0000
2022-05-13,2265.0000,2357.5000,2196.4900,2321.0100,116.0505,10355632,0.0000
2022-05-06,2268.1000,2457.0900,2252.0000,2314.9300,115.7465,9790386,0.0000
2022-04-29,2382.0200,2465.5500,2254.7301,2282.1900,114.1095,14826736,0.0000
2022-04-22,2540.0000,2627.9800,2378.5000,2392.7100,119.6355,8604432,0.0000
2022-04-14,2636.4700,2641.8500,2532.0200,2534.6000,126.7300,6455949,0.0000
2022-04-08,2807.1700,2874.2400,2659.3100,2665.7500,133.2875,6536493,0.0000
2022-04-01,2818.0100,2875.8700,2766.1500,2803.0100,140.1505,7635860,0.0000
2022-03-25,2723.2700,2840.7000,2681.8450,2833.4600,141.6730,6849111,0.0000
2022-03-18,2605.0000,2724.8800,2505.5000,2722.5100,136.1255,8882203,0.0000
2022-03-11,2629.7600,2675.9100,2513.4937,2597.4100,129.8705,9059664,0.0000
2022-03-04,2661.0000,2728.7899,2606.7500,2638.1300,131.9065,7196673,0.0000
2022-02-25,2596.7618,2705.4300,2499.0650,2689.1900,134.4595,8405453,0.0000
2022-02-18,2665.1300,2762.1700,2603.9300,2608.0600,130.4030,8530129,0.0000
2022-02-11,2885.0000,2885.0000,2668.0000,2685.6500,134.2825,11434489,0.0000
2022-02-04,2683.2399,3030.9315,2644.1900,2865.8600,143.2930,18067215,0.0000
2022-01-28,2519.5600,2667.1300,2490.0000,2667.0200,133.3510,11958228,0.0000
2022-01-21,2723.5000,2759.1900,2601.7300,2607.0300,130.3515,7401130,0.0000
2022-01-14,2701.5600,2857.0000,2663.2900,2789.6100,139.4805,7793704,0.0000
2022-01-07,2901.1000,2929.6978,2715.3300,2740.3400,137.0170,8940232,0.0000
2021-12-31,2945.1200,2966.8799,2897.0400,2897.0400,144.8520,4265414,0.0000
2021-12-23,2800.0000,2964.8700,2786.4200,2938.3300,146.9165,5432677,0.0000
2021-12-17,2955.6300,2959.4000,2824.2950,2834.5000,141.7250,9327718,0.0000
2021-12-10,2860.8100,2982.0000,2803.0000,2960.0300,148.0015,6743060,0.0000
2021-12-03,2880.0000,2925.9500,2804.2900,2840.0300,142.0015,8957125,0.0000
2021-11-26,2986.6500,2996.5900,2836.8500,2843.6600,142.1830,5318487,0.0000
2021-11-19,2978.0100,3019.3300,2944.8000,2978.5300,148.9265,6566907,0.0000
2021-11-12,2996.5000,3012.2950,2890.7500,2973.5600,148.6780,5533984,0.0000
2021-11-05,2960.9200,3006.5500,2864.5100,2977.0400,148.8520,9126384,0.0000
2021-10-29,2751.0000,2973.0000,2708.4800,2960.9200,148.0460,12447768,0.0000
2021-10-22,2821.5300,2873.2500,2721.1200,2751.3300,137.5665,7036422,0.0000
2021-10-15,2785.8400,2834.3600,2715.2000,2827.3600,141.3680,6807528,0.0000
2021-10-08,2719.2100,2806.6207,2621.0000,2795.7100,139.7855,7980273,0.0000
2021-10-01,2816.0853,2838.7699,2671.1200,2730.8600,136.5430,8594592,0.0000
2021-09-24,2763.2300,2846.6050,2726.4350,2844.3000,142.2150,7042020,0.0000
2021-09-17,2838.9900,2889.0100,2809.3950,2816.0000,140.8000,7437758,0.0000
2021-09-10,2876.6900,2894.3700,2814.7550,2817.5200,140.8760,4531928,0.0000
2021-09-03,2888.0000,2925.0750,2848.0100,2874.7900,143.7395,6051578,0.0000
2021-08-27,2759.3900,2890.2500,2752.1500,2880.0800,144.0040,5648081,0.0000
2021-08-20,2750.4979,2767.2500,2685.0000,2748.5900,137.4295,5817410,0.0000
2021-08-13,2718.8500,2757.1300,2706.7850,2754.5500,137.7275,4210194,0.0000
2021-08-06,2702.3400,2729.4500,2666.3900,2714.7700,135.7385,5021461,0.0000
2021-07-30,2666.5650,2765.9400,2602.0800,2694.5300,134.7265,11795450,0.0000
2021-07-23,2521.7900,2667.9799,2470.1000,2660.3000,133.0150,6541925,0.0000
2021-07-16,2523.5600,2586.5266,2512.2150,2539.4000,126.9700,5265186,0.0000
2021-07-09,2512.9700,2545.6800,2480.4400,2510.3700,125.5185,4644181,0.0000
2021-07-02,2453.5700,2508.0800,2427.0900,2505.1500,125.2575,6011156,0.0000
2021-06-25,2410.0100,2461.9100,2397.9700,2450.1700,122.5085,6245977,0.0000
2021-06-18,2432.2600,2455.5100,2389.4000,2402.2200,120.1110,7097746,0.0000
2021-06-11,2389.4360,2441.7200,2381.0000,2430.2000,121.5100,5708292,0.0000
2021-06-04,2374.4400,2399.0300,2329.5200,2393.5700,119.6785,4383753,0.0000
2021-05-28,2314.8900,2389.0500,2311.9550,2356.8500,117.8425,6627931,0.0000
2021-05-21,2263.5700,2318.8900,2225.4400,2294.1300,114.7065,7023399,0.0000
2021-05-14,2328.1400,2331.0000,2193.6200,2278.3800,113.9190,8834644,0.0000
2021-05-07,2364.9100,2381.5500,2256.6800,2351.9300,117.5965,7689265,0.0000
2021-04-30,2304.5200,2431.3800,2286.1600,2353.5000,117.6750,12181004,0.0000
2021-04-23,2270.1800,2306.1175,2240.3200,2299.9300,114.9965,6451925,0.0000
2021-04-16,2254.1200,2296.0000,2227.8200,2282.7500,114.1375,6358292,0.0000
2021-04-09,2147.1500,2273.9700,2145.2050,2270.6700,113.5335,8134694,0.0000
2021-04-01,2022.1600,2135.7500,2005.4500,2129.7800,106.4890,6812974,0.0000
2021-03-26,2027.6300,2067.6000,1996.0900,2024.7300,101.2365,7542742,0.0000
2021-03-19,2044.9750,2113.6800,2002.9300,2026.9600,101.3480,8114126,0.0000
2021-03-12,2084.0600,2113.7400,2005.1900,2050.0000,102.5000,7970435,0.0000
2021-03-05,2048.0000,2106.2000,1994.0000,2097.0700,104.8535,9391681,0.0000
